UTS,YS,EL,EL_Si,EL_Mg,EL_Sc,EL_Al
225.31723,141.75957,7.2473326,4,0,0.3266231,95.6733769
225.13997,141.61372,7.2417154,4.01,0,0.3276205,95.6623795
224.9631,141.46797,7.2360697,4.02,0,0.32861775,95.65138225
224.78601,141.32219,7.2304325,4.03,0,0.32961515,95.64038485
224.60931,141.17648,7.2247763,4.04,0,0.33061245,95.62938755
224.43207,141.03065,7.219157,4.05,0,0.33160982,95.61839018
224.25493,140.88483,7.2135267,4.06,0,0.33260715,95.60739285
224.07785,140.73903,7.2078953,4.07,0,0.33360448,95.59639552
223.90106,140.5933,7.202239,4.08,0,0.3346018,95.5853982
223.72397,140.4475,7.1966095,4.09,0,0.33559915,95.57440085
223.54684,140.3017,7.190982,4.1,0,0.33659652,95.56340348
223.36984,140.1559,7.1853447,4.11,0,0.33759385,95.55240615
223.19275,140.01013,7.179715,4.12,0,0.3385912,95.5414088
223.01581,139.86436,7.174073,4.13,0,0.33958858,95.53041142
222.83862,139.71855,7.1684446,4.14,0,0.34058586,95.51941414
222.6617,139.57277,7.1628056,4.15,0,0.34158316,95.50841684
222.4845,139.42696,7.157181,4.16,0,0.34258062,95.49741938
222.30762,139.2812,7.1515303,4.17,0,0.34357783,95.48642217
222.13043,139.13539,7.1459093,4.18,0,0.34457517,95.47542483
221.95355,138.98964,7.140256,4.19,0,0.3455726,95.4644274
221.7763,138.8438,7.134639,4.2,0,0.3465699,95.4534301
221.59946,138.69807,7.12899,4.21,0,0.34756723,95.44243277
221.42233,138.55225,7.1233625,4.22,0,0.34856454,95.43143546
221.24548,138.40651,7.117712,4.23,0,0.3495619,95.4204381
221.06824,138.26068,7.112097,4.24,0,0.3505593,95.4094407
220.89124,138.1149,7.1064577,4.25,0,0.35155657,95.39844343
220.71411,137.9691,7.100833,4.26,0,0.35255396,95.38744604
220.53723,137.82333,7.0951777,4.27,0,0.3535513,95.3764487
220.3602,137.67755,7.089546,4.28,0,0.3545486,95.3654514
220.18321,137.53178,7.083906,4.29,0,0.35554597,95.35445403
220.00595,137.38594,7.078286,4.3,0,0.3565434,95.3434566
219.82909,137.24019,7.0726385,4.31,0,0.3575406,95.3324594
219.65192,137.09438,7.067012,4.32,0,0.358538,95.321462
219.47511,136.94865,7.061363,4.33,0,0.3595353,95.3104647
219.29791,136.80281,7.0557375,4.34,0,0.3605327,95.2994673
219.12091,136.65706,7.0501013,4.35,0,0.36153004,95.28846996
218.94382,136.51125,7.04447,4.36,0,0.3625274,95.2774726
218.76688,136.3655,7.038827,4.37,0,0.36352468,95.26647532
218.58994,136.21971,7.033186,4.38,0,0.364522,95.255478
218.41278,136.07393,7.02756,4.39,0,0.3655194,95.2444806
218.23566,135.9281,7.0219336,4.4,0,0.36651668,95.23348332
218.05876,135.78235,7.016282,4.41,0,0.36751398,95.22248602
217.88168,135.63655,7.0106525,4.42,0,0.36851138,95.21148862
217.70444,135.49072,7.0050335,4.43,0,0.36950877,95.20049123
217.52747,135.34496,6.9993916,4.44,0,0.37050605,95.18949395
217.35062,135.19922,6.993739,4.45,0,0.3715034,95.1784966
217.17352,135.05342,6.9881134,4.46,0,0.37250078,95.16749922
217.06677,134.91122,6.978738,4.47,0,0.37349814,95.15650186
216.97287,134.76979,6.96865,4.48,0,0.37449545,95.14550455
216.87897,134.62837,6.9585714,4.49,0,0.37549278,95.13450722
216.78508,134.48695,6.9484873,4.5,0,0.37649012,95.12350988
216.69104,134.34544,6.938422,4.51,0,0.37748748,95.11251252
216.59726,134.20409,6.9283333,4.52,0,0.3784848,95.1015152
216.5033,134.06262,6.918256,4.53,0,0.37948218,95.09051782
216.40929,133.92114,6.908188,4.54,0,0.38047948,95.07952052
216.31529,133.77966,6.898123,4.55,0,0.38147685,95.06852315
216.22147,133.63829,6.888033,4.56,0,0.38247415,95.05752585
216.12747,133.4968,6.8779626,4.57,0,0.38347158,95.04652842
216.03352,133.35535,6.867886,4.58,0,0.3844689,95.0355311
215.93951,133.21387,6.8578196,4.59,0,0.38546625,95.02453375
215.84567,133.07248,6.847729,4.6,0,0.38646352,95.01353648
215.75168,132.93098,6.8376656,4.61,0,0.38746092,95.00253908
215.65775,132.78955,6.827587,4.62,0,0.38845822,94.99154178
215.56377,132.64809,6.817513,4.63,0,0.3894556,94.9805444
215.46988,132.50667,6.8074374,4.64,0,0.3904529,94.9695471
215.37592,132.3652,6.797362,4.65,0,0.3914503,94.9585497
215.2821,132.22383,6.7872744,4.66,0,0.39244756,94.94755244
215.18808,132.08232,6.777209,4.67,0,0.3934449,94.9365551
215.09409,131.94086,6.7671328,4.68,0,0.39444226,94.92555774
215.00015,131.79942,6.757061,4.69,0,0.39543962,94.91456038
214.90622,131.65797,6.7469807,4.7,0,0.39643687,94.90356313
214.81232,131.51656,6.736902,4.71,0,0.39743423,94.89256577
214.71832,131.37506,6.726829,4.72,0,0.39843163,94.88156837
214.62436,131.2336,6.716756,4.73,0,0.39942893,94.87057107
214.53053,131.09222,6.706675,4.74,0,0.4004262,94.8595738
214.43654,130.95074,6.6965985,4.75,0,0.4014236,94.8485764
214.34259,130.80928,6.6865253,4.76,0,0.402421,94.837579
214.24857,130.6678,6.676457,4.77,0,0.40341833,94.82658167
214.1546,130.52634,6.666383,4.78,0,0.40441576,94.81558424
214.06075,130.38495,6.6563,4.79,0,0.40541297,94.80458703
213.96684,130.24352,6.6462226,4.8,0,0.40641037,94.79358963
213.87274,130.10197,6.6361623,4.81,0,0.40740776,94.78259224
213.77884,129.96056,6.626084,4.82,0,0.4084051,94.7715949
213.68498,129.81915,6.616004,4.83,0,0.4094023,94.7605977
213.59097,129.67766,6.6059337,4.84,0,0.4103997,94.7496003
213.49713,129.53627,6.5958443,4.85,0,0.411397,94.738603
213.40315,129.3948,6.585777,4.86,0,0.4123944,94.7276056
213.30914,129.25334,6.5757046,4.87,0,0.4133917,94.7166083
213.21516,129.11186,6.565639,4.88,0,0.41438916,94.70561084
213.12137,128.97049,6.5555434,4.89,0,0.41538635,94.69461365
213.02737,128.82901,6.5454736,4.9,0,0.41638374,94.68361626
212.93335,128.68752,6.535408,4.91,0,0.4173811,94.6726189
